FlightID,Code,seatsAvail,authLevel,resHoldTotal,reportDt,orig,dest,DptDt,Carrier,fltNr,opsSuffix,fltNrDptDt,fltNrArrDt,DptTime,ArrTime
25,F,0,12,0,2016-05-28,MOWKZ,RZN1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,22:57:00
25,C,11,72,0,2016-05-28,MOWKZ,RZN1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,22:57:00
25,B,1,129,5,2016-05-28,MOWKZ,RZN1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,22:57:00
25,Y,31,129,2,2016-05-28,MOWKZ,RZN1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,22:57:00
25,F,0,12,2,2016-05-28,MOWKZ,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,03:38:00
25,C,11,72,3,2016-05-28,MOWKZ,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,03:38:00
25,B,1,129,1,2016-05-28,MOWKZ,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,03:38:00
25,Y,31,129,0,2016-05-28,MOWKZ,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,03:38:00
25,F,0,12,0,2016-05-28,MOWKZ,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,07:36:00
25,C,11,72,11,2016-05-28,MOWKZ,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,07:36:00
25,B,0,129,32,2016-05-28,MOWKZ,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,07:36:00
25,Y,31,129,19,2016-05-28,MOWKZ,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,07:36:00
25,F,0,12,10,2016-05-28,MOWKZ,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,09:18:00
25,C,11,72,47,2016-05-28,MOWKZ,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,09:18:00
25,B,0,129,87,2016-05-28,MOWKZ,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,09:18:00
25,Y,31,129,74,2016-05-28,MOWKZ,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,20:08:00,09:18:00
25,F,0,12,0,2016-05-28,RZN1,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,03:38:00
25,C,11,72,0,2016-05-28,RZN1,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,03:38:00
25,B,6,129,0,2016-05-28,RZN1,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,03:38:00
25,Y,33,129,0,2016-05-28,RZN1,RUZVK,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,03:38:00
25,F,0,12,0,2016-05-28,RZN1,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,07:36:00
25,C,11,72,0,2016-05-28,RZN1,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,07:36:00
25,B,5,129,0,2016-05-28,RZN1,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,07:36:00
25,Y,33,129,0,2016-05-28,RZN1,SYZR1,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,07:36:00
25,F,0,12,0,2016-05-28,RZN1,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,09:18:00
25,C,11,72,0,2016-05-28,RZN1,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,09:18:00
25,B,5,129,0,2016-05-28,RZN1,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,09:18:00
25,Y,33,129,0,2016-05-28,RZN1,KUF,2016-05-26,FPC,10,J,2016-05-26,2016-05-27,22:59:00,09:18:00
25,F,2,12,0,2016-05-28,RUZVK,SYZR1,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,07:36:00
25,C,14,72,0,2016-05-28,RUZVK,SYZR1,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,07:36:00
25,B,5,129,0,2016-05-28,RUZVK,SYZR1,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,07:36:00
25,Y,33,129,0,2016-05-28,RUZVK,SYZR1,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,07:36:00
25,F,2,12,0,2016-05-28,RUZVK,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,09:18:00
25,C,14,72,0,2016-05-28,RUZVK,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,09:18:00
25,B,5,129,2,2016-05-28,RUZVK,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,09:18:00
25,Y,33,129,0,2016-05-28,RUZVK,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,03:50:00,09:18:00
25,F,2,12,0,2016-05-28,SYZR1,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,07:40:00,09:18:00
25,C,25,72,0,2016-05-28,SYZR1,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,07:40:00,09:18:00
25,B,37,129,0,2016-05-28,SYZR1,KUF,2016-05-27,FPC,10,J,2016-05-26,2016-05-27,07:40:00,09:18:00
